Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code ,Previous Purchases,Payment Mode,Frequency of Purchases
15,46,Male,Windcheater,Outwear,3305,Delhi,M,Grey,Summer,4.9,No,Next Day,No,No,44,Netbanking,Weekly
16,29,Male,Boots,Footwear,4764,Patna,S,Maroon,Spring,1.2,No,Store Pickup,Yes,Yes,32,Cash,Weekly
17,20,Male,Ethnic Wear,Clothing,3327,Pune,XXL,White,Summer,3.5,No,Store Pickup,No,No,13,Credit Card,Weekly
18,24,Female,Cap,Accessories,3765,Surat,S,Red,Autumn,3.5,Yes,Standard,Yes,No,8,Credit Card,Fortnightly
19,34,Male,Loafers,Footwear,3609,Patna,L,Navy,Summer,3.7,No,Standard,Yes,No,7,Cash,Monthly
20,34,Male,Boots,Footwear,2828,Kolkata,L,Brown,Autumn,2,Yes,Standard,No,No,2,Cash,Annually
21,26,Female,Boots,Footwear,4539,Bhopal,XXL,Red,Summer,1.3,Yes,Store Pickup,Yes,No,37,UPI,Quarterly
22,35,Female,Sneakers,Footwear,346,Nagpur,M,Beige,Winter,3.7,No,Store Pickup,No,Yes,15,UPI,Weekly
23,27,Female,Hoodie,Outwear,3392,Ahmedabad,L,Black,Summer,2.5,Yes,Next Day,Yes,Yes,29,Credit Card,Annually
24,17,Male,Flip Flops,Footwear,3284,Surat,L,Blue,Spring,2.4,No,Store Pickup,No,Yes,7,Credit Card,Weekly
25,22,Female,Handbag,Accessories,2851,Surat,XL,Navy,Summer,2.5,Yes,Free Shipping,Yes,No,0,UPI,Annually
26,58,Female,Hoodie,Outwear,2591,Pune,L,Brown,Spring,3.7,No,Next Day,No,Yes,12,Netbanking,Quarterly
27,41,Male,Boots,Footwear,2509,Lucknow,M,Grey,Spring,2.9,No,Express,No,Yes,42,Cash,Annually
28,68,Male,Wallet,Accessories,2562,Ahmedabad,M,Black,Summer,1.2,No,Store Pickup,Yes,No,26,UPI,Quarterly
29,31,Male,Windcheater,Outwear,65,Pune,XL,White,Winter,4.2,No,Standard,Yes,Yes,29,UPI,Quarterly
30,55,Female,Scarf,Accessories,4508,Chandigarh,M,Maroon,Autumn,2.8,Yes,Free Shipping,No,Yes,17,Netbanking,Fortnightly
31,33,Female,Watch,Accessories,2639,Patna,S,Black,Winter,1.9,Yes,Express,Yes,No,26,Credit Card,Monthly
32,19,Male,Windcheater,Outwear,3461,Indore,XXL,Maroon,Summer,4.4,No,Next Day,Yes,No,19,Netbanking,Quarterly
33,30,Female,Sports Shoes,Footwear,3590,Kochi,S,Grey,Spring,3.7,No,Express,No,Yes,39,Cash,Quarterly
34,57,Female,Jeans,Clothing,1131,Chandigarh,M,Red,Spring,2.5,Yes,Next Day,No,No,48,Netbanking,Annually
35,69,Male,Blazer,Outwear,3872,Mumbai,XXL,Red,Spring,1.9,Yes,Standard,Yes,Yes,12,Cash,Monthly
36,24,Female,Flip Flops,Footwear,957,Ranchi,M,Pink,Spring,4.1,Yes,Store Pickup,Yes,Yes,19,Cash,Monthly
37,52,Female,Shirt,Clothing,3269,Kolkata,S,Navy,Winter,1.4,No,Store Pickup,Yes,Yes,22,Netbanking,Annually
38,57,Female,Skirt,Clothing,123,Bhopal,XL,Blue,Autumn,4.8,No,Express,No,Yes,46,Credit Card,Monthly
39,43,Female,Windcheater,Outwear,2660,Ahmedabad,S,Green,Autumn,2,No,Store Pickup,No,No,1,Netbanking,Annually
40,29,Female,Sports Shoes,Footwear,2136,Surat,L,Navy,Spring,3.2,Yes,Standard,Yes,No,31,UPI,Quarterly
41,66,Male,Windcheater,Outwear,782,Lucknow,M,Grey,Winter,2.2,No,Next Day,No,No,47,Credit Card,Annually
42,35,Female,Blazer,Outwear,1908,Pune,M,Yellow,Summer,4,Yes,Express,Yes,No,17,Credit Card,Fortnightly
43,30,Female,Boots,Footwear,1489,Lucknow,S,Maroon,Winter,2.1,Yes,Store Pickup,No,Yes,40,Netbanking,Fortnightly
44,34,Female,Ethnic Wear,Clothing,3941,Chandigarh,L,Black,Summer,2,No,Standard,Yes,No,31,Cash,Monthly
45,25,Female,Kurta,Clothing,717,Ahmedabad,S,Brown,Autumn,3.4,Yes,Store Pickup,No,No,28,Credit Card,Monthly
46,52,Male,Blazer,Outwear,832,Kolkata,M,Green,Summer,1.6,Yes,Store Pickup,Yes,Yes,0,Netbanking,Quarterly
47,18,Male,Blazer,Outwear,2380,Lucknow,XL,Blue,Winter,4.7,Yes,Next Day,Yes,Yes,41,UPI,Annually
48,19,Male,Sandals,Footwear,2539,Bhubaneswar,XXL,Green,Autumn,1.5,No,Next Day,No,No,28,Cash,Monthly
49,63,Female,Jacket,Clothing,4965,Jaipur,S,Blue,Winter,4.8,Yes,Free Shipping,Yes,Yes,30,Netbanking,Annually
50,56,Female,Heels,Footwear,767,Kochi,L,Grey,Spring,2.3,Yes,Express,No,No,44,Netbanking,Annually
51,64,Male,Puffer Jacket,Outwear,3745,Bangalore,L,Green,Spring,1.5,No,Store Pickup,Yes,No,26,Cash,Weekly
52,56,Female,Scarf,Accessories,442,Kolkata,L,Brown,Winter,4.7,No,Next Day,Yes,Yes,40,UPI,Weekly
53,51,Female,Handbag,Accessories,783,Ahmedabad,S,Pink,Summer,3.6,Yes,Next Day,No,No,26,Netbanking,Quarterly
54,51,Male,Sports Shoes,Footwear,3162,Kolkata,XXL,Brown,Winter,4.5,No,Next Day,No,No,0,Credit Card,Annually
55,25,Female,Puffer Jacket,Outwear,4432,Kochi,L,Yellow,Autumn,2.8,No,Express,Yes,No,14,Netbanking,Fortnightly
56,61,Female,Scarf,Accessories,3182,Hyderabad,XL,Red,Winter,3,No,Standard,No,Yes,33,Netbanking,Fortnightly
57,57,Male,Heels,Footwear,632,Kochi,L,Yellow,Autumn,3.6,No,Store Pickup,No,No,40,Netbanking,Monthly
58,20,Male,Ethnic Wear,Clothing,2374,Ahmedabad,S,Grey,Summer,4,Yes,Next Day,Yes,No,1,Cash,Annually
59,38,Female,Shirt,Clothing,3548,Hyderabad,M,Brown,Autumn,3.3,Yes,Express,Yes,Yes,39,Netbanking,Monthly
60,53,Male,Sports Shoes,Footwear,1922,Chandigarh,L,Pink,Spring,3.7,No,Free Shipping,Yes,Yes,28,Credit Card,Monthly
61,60,Female,Cap,Accessories,3762,Lucknow,M,Grey,Autumn,1.4,No,Store Pickup,No,No,44,Credit Card,Fortnightly
62,16,Male,Blazer,Outwear,4987,Kochi,L,White,Spring,1.9,Yes,Store Pickup,No,Yes,40,Cash,Fortnightly
63,18,Female,Scarf,Accessories,1096,Bangalore,L,Yellow,Autumn,1.7,Yes,Store Pickup,No,No,10,Credit Card,Quarterly
64,67,Male,Jewelry Set,Accessories,3856,Bangalore,M,White,Autumn,4.9,No,Standard,No,Yes,16,Cash,Quarterly
65,53,Female,Belt,Accessories,3063,Pune,M,Pink,Summer,3.5,No,Store Pickup,Yes,Yes,40,Netbanking,Annually
66,24,Male,Hoodie,Outwear,324,Lucknow,XL,Blue,Summer,1.9,Yes,Next Day,No,No,42,Netbanking,Monthly
67,57,Male,Heels,Footwear,4028,Bhubaneswar,XL,Green,Summer,3.8,Yes,Next Day,No,Yes,23,Cash,Annually
68,41,Female,Handbag,Accessories,1574,Pune,XL,Blue,Winter,3.6,Yes,Standard,No,Yes,8,UPI,Fortnightly
69,68,Male,Flip Flops,Footwear,2711,Hyderabad,XXL,Red,Spring,4.4,Yes,Express,No,Yes,7,Cash,Weekly
70,66,Male,Dress,Clothing,4843,Surat,S,Black,Spring,1.2,No,Store Pickup,Yes,Yes,30,Netbanking,Annually
71,48,Male,Trousers,Clothing,375,Coimbatore,L,Pink,Summer,1.2,No,Next Day,No,Yes,31,Netbanking,Fortnightly
72,54,Male,Dress,Clothing,558,Hyderabad,L,Navy,Spring,2.5,No,Next Day,No,Yes,50,Cash,Monthly
73,44,Male,Heels,Footwear,3409,Surat,XL,Grey,Autumn,3.9,No,Next Day,No,No,23,UPI,Quarterly
74,69,Male,Jeans,Clothing,783,Bhopal,S,Maroon,Spring,4.2,Yes,Store Pickup,No,Yes,26,Credit Card,Quarterly
75,54,Female,Shirt,Clothing,2900,Pune,XXL,Brown,Winter,1.6,No,Express,Yes,No,35,Credit Card,Fortnightly
76,67,Female,Watch,Accessories,4615,Bhubaneswar,XXL,Beige,Summer,3.4,No,Standard,Yes,No,44,Credit Card,Annually
77,27,Male,Handbag,Accessories,4659,Indore,S,Black,Summer,1.4,Yes,Next Day,No,No,21,UPI,Annually
78,65,Male,Jewelry Set,Accessories,450,Hyderabad,M,Navy,Summer,3.7,No,Next Day,No,No,38,Netbanking,Quarterly
79,64,Male,Watch,Accessories,2847,Bhopal,S,Green,Autumn,3.1,No,Standard,Yes,No,38,Cash,Fortnightly
80,29,Male,Boots,Footwear,2113,Lucknow,L,Blue,Summer,3,No,Express,Yes,No,34,UPI,Monthly
81,41,Male,Wallet,Accessories,3593,Mumbai,XL,Blue,Spring,3.3,No,Next Day,No,Yes,25,Cash,Annually
82,69,Female,Sports Shoes,Footwear,741,Bhopal,S,White,Autumn,3.4,Yes,Next Day,No,No,14,Credit Card,Weekly
83,56,Male,Skirt,Clothing,4366,Coimbatore,M,Yellow,Spring,3.9,Yes,Express,Yes,Yes,16,UPI,Weekly
84,27,Female,Sandals,Footwear,3820,Ranchi,XXL,Pink,Spring,4.5,No,Express,No,Yes,30,Netbanking,Annually
85,38,Male,Handbag,Accessories,2562,Chandigarh,XL,Red,Summer,2.5,No,Standard,Yes,No,29,Cash,Quarterly
86,54,Female,Loafers,Footwear,4127,Hyderabad,S,Pink,Summer,4.2,No,Standard,Yes,Yes,15,Netbanking,Quarterly
87,39,Female,Loafers,Footwear,3193,Bhopal,L,Beige,Summer,4.2,No,Standard,No,Yes,35,Netbanking,Annually
88,37,Male,Sunglasses,Accessories,4793,Hyderabad,L,Green,Autumn,1.5,Yes,Free Shipping,No,No,8,Cash,Quarterly
89,39,Female,Handbag,Accessories,1496,Kolkata,L,Pink,Winter,1.9,Yes,Express,Yes,No,50,Cash,Monthly
90,65,Male,Dress,Clothing,4912,Indore,M,Black,Winter,4.3,Yes,Next Day,Yes,No,23,UPI,Quarterly
91,30,Male,Scarf,Accessories,2555,Kochi,M,Yellow,Autumn,2.8,No,Next Day,No,Yes,12,UPI,Annually
92,39,Male,Trousers,Clothing,4246,Pune,L,Blue,Winter,2.1,Yes,Next Day,Yes,Yes,28,Credit Card,Fortnightly
93,41,Female,Hoodie,Outwear,1951,Indore,S,Yellow,Winter,1.1,Yes,Free Shipping,Yes,Yes,2,Credit Card,Quarterly
94,44,Male,Sports Shoes,Footwear,669,Mumbai,L,White,Winter,3.2,No,Standard,No,Yes,19,Cash,Fortnightly
95,56,Female,Heels,Footwear,534,Pune,XL,Navy,Summer,3.5,Yes,Express,No,No,0,Credit Card,Weekly
96,58,Male,Denim Jacket,Outwear,4308,Nagpur,S,Brown,Summer,2.6,No,Standard,No,No,16,Cash,Annually
97,31,Male,Dress,Clothing,4786,Surat,M,Red,Spring,3.2,Yes,Next Day,No,Yes,8,Cash,Quarterly
98,28,Male,Shirt,Clothing,1654,Delhi,L,Green,Autumn,5,No,Free Shipping,Yes,Yes,18,Credit Card,Fortnightly
99,23,Female,Belt,Accessories,3599,Indore,XL,Grey,Spring,4.9,No,Next Day,No,No,5,Netbanking,Fortnightly
100,68,Male,Trench Coat,Outwear,4488,Lucknow,L,Blue,Summer,2.3,No,Free Shipping,No,No,10,Netbanking,Annually
101,62,Female,Hoodie,Outwear,3583,Jaipur,S,Blue,Autumn,2.5,Yes,Standard,Yes,No,2,UPI,Fortnightly
102,39,Female,Loafers,Footwear,4666,Delhi,XXL,Black,Autumn,4.8,No,Next Day,Yes,Yes,33,Credit Card,Quarterly
103,31,Male,Belt,Accessories,232,Chennai,XL,Brown,Autumn,4.7,Yes,Free Shipping,No,No,13,Credit Card,Quarterly
104,24,Male,Sandals,Footwear,3723,Chennai,XL,Blue,Spring,3.7,Yes,Store Pickup,No,No,10,UPI,Annually
105,28,Male,Sandals,Footwear,1959,Kochi,S,Yellow,Spring,2.9,Yes,Store Pickup,Yes,Yes,19,Netbanking,Quarterly
106,42,Male,Puffer Jacket,Outwear,1046,Surat,S,Pink,Autumn,3.7,No,Express,Yes,Yes,27,Cash,Fortnightly
107,26,Male,Boots,Footwear,2663,Ahmedabad,L,Brown,Spring,4.4,No,Express,No,Yes,40,Credit Card,Monthly
108,57,Male,Skirt,Clothing,4868,Ranchi,M,Black,Spring,4.4,Yes,Standard,Yes,Yes,41,Credit Card,Weekly
109,56,Male,Trench Coat,Outwear,4099,Patna,L,Beige,Spring,2.9,No,Free Shipping,No,Yes,44,Cash,Weekly
110,46,Female,Windcheater,Outwear,1691,Surat,XXL,Black,Spring,4.4,No,Free Shipping,No,Yes,48,Credit Card,Monthly
111,31,Female,Dress,Clothing,1023,Jaipur,XL,White,Winter,1.4,No,Next Day,No,Yes,10,Credit Card,Monthly
112,64,Male,Watch,Accessories,4101,Coimbatore,XL,Pink,Spring,3,Yes,Next Day,No,Yes,13,Credit Card,Fortnightly
113,47,Female,Shirt,Clothing,2360,Patna,S,Blue,Autumn,1.5,No,Free Shipping,No,No,2,Netbanking,Fortnightly
114,51,Female,Loafers,Footwear,622,Indore,XXL,Pink,Spring,4.3,Yes,Express,Yes,No,23,Credit Card,Monthly
115,28,Female,Sunglasses,Accessories,4116,Delhi,S,Red,Winter,3.9,No,Store Pickup,No,Yes,38,UPI,Annually
116,41,Female,Sunglasses,Accessories,4883,Surat,XXL,Brown,Autumn,3.8,No,Next Day,Yes,No,21,Cash,Quarterly
117,54,Female,Handbag,Accessories,2195,Ranchi,XXL,White,Summer,3.3,Yes,Store Pickup,No,Yes,43,UPI,Fortnightly
118,17,Female,Saree,Clothing,2589,Bhopal,M,Grey,Winter,2.6,No,Standard,Yes,Yes,35,Credit Card,Quarterly
119,27,Female,Blazer,Outwear,4387,Surat,XXL,Yellow,Spring,3.4,Yes,Express,No,No,14,Credit Card,Annually
120,36,Female,Sports Shoes,Footwear,2877,Patna,L,Green,Summer,3.3,No,Next Day,No,Yes,18,Cash,Annually
121,44,Female,Dress,Clothing,3944,Kolkata,M,Brown,Spring,4.7,No,Express,Yes,Yes,15,Cash,Monthly
122,19,Male,Flip Flops,Footwear,3405,Surat,XL,Blue,Winter,1,Yes,Next Day,No,No,41,UPI,Annually
123,57,Male,Belt,Accessories,752,Ranchi,M,Brown,Summer,4.7,Yes,Next Day,Yes,Yes,25,Netbanking,Weekly
124,16,Female,Handbag,Accessories,4672,Bhubaneswar,S,Yellow,Spring,2.8,No,Express,No,No,12,Cash,Annually
125,57,Female,Sports Shoes,Footwear,1545,Mumbai,L,Green,Winter,1.7,No,Next Day,No,Yes,25,Cash,Weekly
126,36,Male,Sports Shoes,Footwear,75,Jaipur,XL,White,Autumn,4,No,Free Shipping,Yes,No,41,Credit Card,Weekly
127,45,Female,Jeans,Clothing,1328,Indore,XXL,Maroon,Spring,3.8,No,Free Shipping,Yes,Yes,8,Netbanking,Weekly
128,54,Female,Sweater,Outwear,3426,Patna,XL,Brown,Winter,4,Yes,Store Pickup,No,No,4,Cash,Fortnightly
129,26,Female,Formal Shoes,Footwear,4282,Chandigarh,S,Beige,Winter,3.9,No,Standard,No,Yes,29,UPI,Monthly
130,52,Male,Windcheater,Outwear,4597,Chandigarh,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,27,Credit Card,Fortnightly
131,46,Male,Jeans,Clothing,2371,Bhopal,M,Black,Autumn,2.5,No,Next Day,No,No,5,UPI,Annually
132,50,Female,Kurta,Clothing,4352,Hyderabad,M,Red,Summer,4.9,No,Store Pickup,No,No,14,UPI,Quarterly
133,33,Male,Sunglasses,Accessories,944,Delhi,XL,Navy,Summer,2,Yes,Standard,Yes,No,38,Cash,Weekly
134,44,Male,Jacket,Clothing,4441,Kolkata,S,Black,Spring,1.9,No,Store Pickup,No,Yes,19,UPI,Monthly
135,35,Female,Heels,Footwear,519,Patna,XXL,Maroon,Winter,3.5,No,Store Pickup,No,Yes,22,Netbanking,Monthly
136,42,Male,Cap,Accessories,2476,Indore,M,Brown,Autumn,2,Yes,Free Shipping,Yes,No,3,Netbanking,Quarterly
137,31,Female,Heels,Footwear,1685,Surat,S,Pink,Spring,1.4,Yes,Standard,No,No,43,Cash,Fortnightly
138,46,Male,Flip Flops,Footwear,2747,Lucknow,S,White,Winter,4.8,Yes,Next Day,Yes,Yes,25,UPI,Monthly
139,40,Female,Belt,Accessories,4391,Nagpur,L,Green,Spring,3.1,No,Next Day,Yes,No,48,Credit Card,Weekly
140,42,Male,Jewelry Set,Accessories,4628,Ahmedabad,M,Red,Spring,3.2,No,Free Shipping,Yes,Yes,21,UPI,Quarterly
141,51,Female,Sports Shoes,Footwear,2128,Kochi,XL,Pink,Winter,3.9,No,Express,Yes,No,11,Cash,Monthly
142,68,Male,Jeans,Clothing,72,Bhopal,M,Beige,Winter,1.3,Yes,Standard,Yes,No,23,Cash,Monthly
143,47,Male,Sweater,Outwear,74,Patna,XXL,Grey,Summer,1.1,No,Store Pickup,No,Yes,32,Netbanking,Weekly
144,49,Male,Jeans,Clothing,1994,Kolkata,XXL,Brown,Spring,4.3,No,Next Day,Yes,No,25,Netbanking,Monthly
145,35,Male,Flip Flops,Footwear,279,Bangalore,XL,Grey,Autumn,3.2,Yes,Standard,Yes,Yes,31,Netbanking,Annually
146,18,Male,Skirt,Clothing,1751,Ranchi,XL,Green,Summer,4.7,No,Store Pickup,Yes,Yes,20,Cash,Weekly
147,20,Female,Heels,Footwear,1350,Ranchi,M,Navy,Autumn,3.7,No,Next Day,Yes,Yes,32,Credit Card,Fortnightly
148,30,Male,Jacket,Clothing,2810,Bhubaneswar,XXL,Navy,Autumn,4.9,No,Standard,No,No,31,UPI,Annually
149,27,Female,Windcheater,Outwear,722,Bhubaneswar,L,White,Summer,1.3,Yes,Next Day,Yes,No,20,Credit Card,Fortnightly
150,35,Female,T-Shirt,Clothing,2968,Jaipur,S,Black,Summer,1.7,No,Store Pickup,No,Yes,1,Cash,Annually
151,54,Female,Ethnic Wear,Clothing,3175,Mumbai,L,Grey,Autumn,4.1,Yes,Store Pickup,Yes,No,10,UPI,Annually
152,47,Male,Belt,Accessories,538,Chennai,XL,Green,Autumn,2.2,Yes,Free Shipping,No,Yes,46,Netbanking,Monthly
153,22,Male,Sports Shoes,Footwear,2515,Mumbai,XL,Yellow,Autumn,4.2,No,Next Day,No,No,41,UPI,Annually
154,46,Female,Watch,Accessories,1475,Indore,L,Green,Autumn,4.9,Yes,Free Shipping,No,No,50,Netbanking,Annually
155,28,Male,Ethnic Wear,Clothing,4526,Mumbai,XL,Maroon,Winter,2.8,No,Standard,No,No,8,Credit Card,Weekly
156,61,Female,Sunglasses,Accessories,3108,Bangalore,XL,Navy,Autumn,3.3,No,Store Pickup,Yes,No,44,Cash,Fortnightly
157,26,Male,Loafers,Footwear,4633,Indore,L,Grey,Summer,1,No,Express,Yes,No,23,Netbanking,Quarterly
158,17,Female,Loafers,Footwear,876,Lucknow,XL,Blue,Summer,4.3,Yes,Free Shipping,No,No,29,UPI,Monthly
159,46,Male,Blazer,Outwear,3609,Chandigarh,L,Blue,Spring,1.2,Yes,Standard,No,Yes,43,UPI,Weekly
160,37,Female,Formal Shoes,Footwear,3805,Ahmedabad,XL,Beige,Winter,1.7,No,Next Day,Yes,Yes,28,Netbanking,Quarterly
161,29,Female,Saree,Clothing,532,Ranchi,S,Brown,Winter,2.5,Yes,Next Day,Yes,No,42,Netbanking,Monthly
162,55,Female,Cap,Accessories,4828,Pune,L,Yellow,Autumn,3.5,No,Store Pickup,Yes,Yes,20,Cash,Weekly
163,27,Female,Wallet,Accessories,1178,Coimbatore,XL,Grey,Winter,3.3,No,Express,No,Yes,35,UPI,Quarterly
164,27,Female,Sunglasses,Accessories,3714,Bhubaneswar,S,Yellow,Summer,2.9,Yes,Next Day,No,No,43,Netbanking,Quarterly
165,26,Male,Windcheater,Outwear,4651,Mumbai,M,Green,Summer,2.1,No,Express,No,No,35,Cash,Monthly
166,65,Female,Shirt,Clothing,4460,Delhi,XL,Brown,Winter,5,Yes,Express,No,Yes,28,Credit Card,Annually
167,23,Male,Trousers,Clothing,1739,Ranchi,L,Maroon,Autumn,1.7,Yes,Express,Yes,Yes,36,Credit Card,Monthly
168,36,Female,Sunglasses,Accessories,2390,Ranchi,L,Brown,Summer,1.5,No,Standard,No,Yes,44,UPI,Weekly
169,69,Male,Loafers,Footwear,3237,Kochi,M,Navy,Spring,3.5,No,Next Day,Yes,Yes,25,Credit Card,Annually
170,36,Male,Windcheater,Outwear,783,Chandigarh,L,Blue,Autumn,1.9,No,Express,No,No,20,Credit Card,Annually
171,66,Female,Sports Shoes,Footwear,416,Delhi,S,Beige,Autumn,1.1,Yes,Next Day,No,Yes,27,UPI,Weekly
172,33,Male,Sunglasses,Accessories,2972,Jaipur,S,Yellow,Winter,1.2,No,Express,No,Yes,45,Cash,Fortnightly
173,20,Male,Sports Shoes,Footwear,4883,Ahmedabad,XXL,Beige,Autumn,1,No,Standard,No,Yes,30,Cash,Weekly
174,62,Male,Hoodie,Outwear,865,Surat,L,Green,Winter,2.5,Yes,Express,Yes,Yes,39,UPI,Quarterly
175,56,Male,Watch,Accessories,3392,Bhubaneswar,XL,White,Summer,4.6,Yes,Standard,No,No,27,Credit Card,Weekly
176,57,Male,Boots,Footwear,2052,Patna,XXL,Navy,Spring,4.1,Yes,Free Shipping,Yes,Yes,47,Netbanking,Annually
177,47,Female,Saree,Clothing,943,Ahmedabad,XL,Beige,Summer,3.1,Yes,Free Shipping,No,Yes,24,Netbanking,Annually
178,65,Male,Sports Shoes,Footwear,156,Ranchi,S,Red,Spring,1.9,Yes,Next Day,No,No,27,Netbanking,Fortnightly
179,21,Female,Boots,Footwear,667,Coimbatore,M,Black,Spring,2.6,Yes,Free Shipping,No,Yes,3,UPI,Fortnightly
180,45,Male,Hoodie,Outwear,2553,Chennai,S,Red,Winter,3.8,Yes,Next Day,No,No,10,Credit Card,Weekly
181,65,Male,Wallet,Accessories,2764,Bhopal,L,Brown,Summer,2.1,Yes,Next Day,No,No,3,Netbanking,Monthly
182,26,Female,Loafers,Footwear,862,Ranchi,S,White,Summer,1.2,Yes,Express,Yes,No,23,Netbanking,Weekly
183,51,Female,Sneakers,Footwear,1859,Surat,M,Grey,Spring,2.1,Yes,Store Pickup,No,Yes,32,Cash,Weekly
184,41,Male,Sneakers,Footwear,3830,Lucknow,L,Yellow,Summer,3.2,Yes,Free Shipping,Yes,No,36,Credit Card,Monthly
185,39,Female,Sports Shoes,Footwear,1620,Patna,M,Black,Summer,4.7,Yes,Express,No,Yes,21,Cash,Quarterly
186,29,Male,Wallet,Accessories,3459,Kochi,S,Black,Spring,1.4,Yes,Store Pickup,No,No,29,Cash,Monthly
187,24,Female,Skirt,Clothing,633,Ranchi,XXL,Red,Autumn,3.6,Yes,Express,No,No,20,Netbanking,Annually
188,33,Male,Scarf,Accessories,631,Kolkata,M,Navy,Summer,1.6,Yes,Next Day,No,No,26,Cash,Monthly
189,44,Female,Watch,Accessories,3815,Jaipur,S,Blue,Winter,4.2,No,Store Pickup,Yes,Yes,20,UPI,Fortnightly
190,41,Male,Loafers,Footwear,2468,Jaipur,M,Red,Autumn,4.4,Yes,Standard,No,Yes,50,UPI,Fortnightly
191,69,Male,T-Shirt,Clothing,1090,Kolkata,XL,Yellow,Summer,3.3,No,Standard,Yes,Yes,12,Netbanking,Weekly
192,23,Male,Dress,Clothing,3796,Delhi,M,Navy,Autumn,4.3,No,Next Day,Yes,No,43,Netbanking,Weekly
193,27,Female,Watch,Accessories,2312,Chandigarh,M,Red,Winter,3.6,No,Next Day,No,Yes,5,Credit Card,Quarterly
194,28,Male,Heels,Footwear,4473,Mumbai,XL,Maroon,Spring,2.9,No,Free Shipping,No,No,17,UPI,Fortnightly
195,17,Female,Watch,Accessories,499,Kochi,XXL,Yellow,Winter,4.9,Yes,Express,Yes,No,34,Cash,Weekly
196,69,Male,Blazer,Outwear,1462,Ahmedabad,XXL,Yellow,Spring,4.7,Yes,Free Shipping,Yes,Yes,31,Credit Card,Weekly
197,21,Male,Hoodie,Outwear,1925,Bhubaneswar,M,Red,Autumn,1,Yes,Express,No,Yes,20,Cash,Fortnightly
198,65,Male,Formal Shoes,Footwear,4331,Nagpur,S,Yellow,Autumn,3.3,No,Free Shipping,No,Yes,10,Netbanking,Quarterly
199,61,Female,Sunglasses,Accessories,1848,Ranchi,M,Grey,Spring,3.9,No,Express,Yes,Yes,44,Netbanking,Monthly
200,54,Female,Kurta,Clothing,1829,Ranchi,S,Pink,Winter,2.3,Yes,Express,No,No,10,Cash,Annually
201,32,Male,Hoodie,Outwear,2064,Bangalore,L,Green,Summer,3.9,Yes,Next Day,No,No,10,Netbanking,Quarterly
202,50,Female,Blazer,Outwear,850,Kochi,XXL,Beige,Winter,1.7,Yes,Standard,No,Yes,20,Credit Card,Fortnightly
203,26,Female,Dress,Clothing,1338,Bangalore,XXL,Blue,Spring,3.4,No,Standard,No,Yes,38,Netbanking,Weekly
204,37,Male,Jeans,Clothing,1576,Bhopal,XXL,Maroon,Spring,3.6,No,Express,Yes,Yes,25,Netbanking,Weekly
205,16,Female,Dress,Clothing,737,Lucknow,XXL,Pink,Winter,1.4,Yes,Express,No,Yes,30,Cash,Annually
206,47,Female,Windcheater,Outwear,766,Patna,XL,Black,Spring,4.5,No,Express,No,Yes,16,Netbanking,Quarterly
